Concessionária;Unidade;Mês de referência;Link do PDF da fatura;PO;CNPJ do Pedido;NF;Data de Vencimento;Boleto;Valor;Data de emissão
EDP SP;12667;2026-01-01;https://sgetim.com.br/download/12667/2/98/BT/;4504461508;02.421.421/0006-26;`7721933;0000-00-00;N_A;53.82;2026-01-10
EDP SP;13788;2026-04-01;https://storage.googleapis.com/bignet-arquivos/extracoes/788216/a3b390ae-8717-4839-864b-2cc7f1d440d1.pdf;4504658650;02.421.421/0006-26;`015089345;0000-00-00;N_A;31.36;2026-04-13
EDP SP;29417;2025-11-01;https://storage.googleapis.com/bignet-arquivos/extracoes/198667/a0284e25-3b76-4e78-8dba-57d4dd2b52af.pdf;4504461508;02.421.421/0006-26;`004206575;0000-00-00;N_A;36.43;2025-11-24
EDP SP;26738;2026-03-01;https://sgetim.com.br/download/26738/2/7973/BT/;4504658650;02.421.421/0006-26;`13652057;0000-00-00;N_A;48.61;2026-03-24
EDP SP;2454;2025-12-01;https://sgetim.com.br/download/2454/2/17976/BT/;4504461508;02.421.421/0006-26;`4921769;0000-00-00;N_A;41.38;2025-12-05
SULGIPE;4113;2026-04-01;https://storage.googleapis.com/bignet-arquivos/extracoes/623962/3dcb4f22-80e2-45f0-a0be-ba11eafcbe1e.pdf;4504658615;02.421.421/0019-40;`6452237;0000-00-00;`838100000132469200900008100350975953006564504261;1346.92;2026-04-07
EDP SP;27118;2025-12-01;https://sgetim.com.br/download/27118/2/28535/BT/;4504461508;02.421.421/0006-26;`006777577;0000-00-00;N_A;51.25;2025-12-23
SULGIPE;21429;2026-03-01;https://storage.googleapis.com/bignet-arquivos/extracoes/661390/d385842d-500a-4935-b76a-aa4accfe8a58.pdf;4504658615;02.421.421/0019-40;`6410416;0000-00-00;`838800000909921700900004100350483104004497503266;9092.17;2026-03-25
EDP SP;16342;2026-01-01;https://storage.googleapis.com/bignet-arquivos/extracoes/384689/2bde1efe-8053-402d-a139-37c3e37dfbdc.pdf;4504461508;02.421.421/0006-26;`008917887;0000-00-00;N_A;53.98;2026-01-22
EDP SP;29807;2025-12-01;https://sgetim.com.br/download/29807/2/16/BT/;4504461508;02.421.421/0006-26;`4889012;0000-00-00;N_A;18.97;2025-12-05
