Status;Motivo;Concessionária;Unidade;Mês de referência;Link do PDF da fatura;PO;CNPJ do Pedido;NF;Data de Vencimento;Boleto;Valor;Data de emissão
ERRO;Sem Valor;EDP SP;30863;2026-04-01;https://sgetim.com.br/download/30863/2/12/BT/;4504658650;02.421.421/0006-26;`SemFaturamento;0000-00-00;N_A;0.0;0000-00-00
ERRO;Sem Valor;LIGHT;10740;2026-02-01;https://sgetim.com.br/download/10740/2/7543/BT/;4504461544;02.421.421/0001-11;`SemFaturamento;0000-00-00;N_A;0.0;0000-00-00
ERRO;Sem Valor;ENEL RIO;31068;2026-03-01;https://sgetim.com.br/download/31068/2/9/BT/;4504658648;02.421.421/0001-11;`SemFaturamento/EmProcessodeDesligamento;0000-00-00;N_A;0.0;0000-00-00
ERRO;Sem Valor;EQUATORIAL RS (CEEE);30791;2026-03-01;https://sgetim.com.br/download/30791/2/12/BT/;4504658632;02.421.421/0007-07;`SemFaturamento/EmProcessodeDesligamento;0000-00-00;N_A;0.0;0000-00-00
ERRO;Sem Valor;ENEL CE;8927;2026-03-01;https://sgetim.com.br/download/8927/2/111/BT/;4504658652;02.421.421/0008-98;`SemFaturamento/EmProcessodeDesligamento;0000-00-00;N_A;0.0;0000-00-00
ERRO;Sem Valor;NEOENERGIA RN (COSERN);12018;2026-04-01;https://sgetim.com.br/download/12018/2/57631/BT/;4504658643;02.421.421/0028-31;`SemFaturamento/EmProcessodeDesligamento;0000-00-00;N_A;0.0;0000-00-00
ERRO;Sem Valor;RGE SUL;26444;2026-02-01;https://sgetim.com.br/download/26444/2/766/BT/;4504658645;02.421.421/0007-07;`SemFaturamento/EmProcessodeDesligamento;0000-00-00;N_A;0.0;0000-00-00
ERRO;Sem Valor;NEOENERGIA RN (COSERN);8151;2026-03-01;https://sgetim.com.br/download/8151/2/57571/BT/;4504658643;02.421.421/0028-31;`SemFaturamento/EmProcessodeDesligamento;0000-00-00;N_A;0.0;0000-00-00
ERRO;Sem Valor;NEOENERGIA BA (COELBA);31093;2026-01-01;https://sgetim.com.br/download/31093/2/7/BT/;4504461545;02.421.421/0009-79;`SemFaturamento/EmProcessodeDesligamento;0000-00-00;N_A;0.0;0000-00-00
ERRO;Sem Valor;CPFL PAULISTA;26301;2025-12-01;https://sgetim.com.br/download/26301/2/28344/BT/;4504461492;02.421.421/0006-26;`SemFaturamento;0000-00-00;N_A;0.0;0000-00-00
